"","x","y","NDVI","Date"
"235",456975,6527155,0.546134650707245,2018-07-26
"237",456995,6527155,0.52405720949173,2018-07-26
"241",457035,6527155,-0.00294464081525803,2018-07-26
"242",457045,6527155,0.0475493781268597,2018-07-26
"382",457045,6527145,-0.00306591717526317,2018-07-26
"1630",456925,6527055,-0.0240229479968548,2018-07-26
"1631",456935,6527055,-0.0622876547276974,2018-07-26
"1632",456945,6527055,-0.0615507587790489,2018-07-26
"1633",456955,6527055,-0.0324786342680454,2018-07-26
"1774",456965,6527045,-0.0515806972980499,2018-07-26
"2829",456315,6526965,-0.0517529211938381,2018-07-26
"2831",456335,6526965,-0.0593293197453022,2018-07-26
"2832",456345,6526965,-0.056134257465601,2018-07-26
"2833",456355,6526965,-0.0509554147720337,2018-07-26
"2834",456365,6526965,-0.0531542040407658,2018-07-26
"2835",456375,6526965,-0.0567251443862915,2018-07-26
"2836",456385,6526965,-0.0465517230331898,2018-07-26
"2837",456395,6526965,-0.0443213284015656,2018-07-26
"2977",456395,6526955,-0.0517441853880882,2018-07-26
"2978",456405,6526955,-0.0551544912159443,2018-07-26
"2979",456415,6526955,-0.058891125023365,2018-07-26
"2980",456425,6526955,-0.0639371871948242,2018-07-26
"3101",456235,6526945,-0.0272621810436249,2018-07-26
"3118",456405,6526945,-0.0463932938873768,2018-07-26
"3119",456415,6526945,-0.0415676943957806,2018-07-26
"3120",456425,6526945,-0.0588235296308994,2018-07-26
"3121",456435,6526945,-0.0613287910819054,2018-07-26
"3237",456195,6526935,0.00450856611132622,2018-07-26
"3238",456205,6526935,-0.0128319906070828,2018-07-26
"3239",456215,6526935,-0.0232835821807384,2018-07-26
"3240",456225,6526935,-0.0233382564038038,2018-07-26
"3241",456235,6526935,-0.0241034682840109,2018-07-26
"3242",456245,6526935,-0.0205296035856009,2018-07-26
"3244",456265,6526935,-0.034524530172348,2018-07-26
"3250",456325,6526935,-0.0359529107809067,2018-07-26
"3251",456335,6526935,-0.0354745909571648,2018-07-26
"3252",456345,6526935,-0.0366826169192791,2018-07-26
"3253",456355,6526935,-0.0314102582633495,2018-07-26
"3254",456365,6526935,-0.0358180068433285,2018-07-26
"3255",456375,6526935,-0.0412800014019012,2018-07-26
"3256",456385,6526935,-0.0391908958554268,2018-07-26
"3257",456395,6526935,-0.0341433398425579,2018-07-26
"3258",456405,6526935,-0.0359005816280842,2018-07-26
