"","x","y","STR","Date"
"242",457045,6527155,2.00781750679016,2018-08-28
"243",457055,6527155,2.00781750679016,2018-08-28
"244",457065,6527155,2.28112483024597,2018-08-28
"245",457075,6527155,2.28112483024597,2018-08-28
"381",457035,6527145,1.39757943153381,2018-08-28
"383",457055,6527145,2.00781750679016,2018-08-28
"384",457065,6527145,2.28112483024597,2018-08-28
"385",457075,6527145,2.28112483024597,2018-08-28
"386",457085,6527145,2.21646285057068,2018-08-28
"387",457095,6527145,2.21646285057068,2018-08-28
"388",457105,6527145,1.99626088142395,2018-08-28
"523",457055,6527135,2.41050696372986,2018-08-28
"524",457065,6527135,2.30330634117126,2018-08-28
"526",457085,6527135,2.0722930431366,2018-08-28
"527",457095,6527135,2.0722930431366,2018-08-28
"528",457105,6527135,2.2299485206604,2018-08-28
"529",457115,6527135,2.2299485206604,2018-08-28
"669",457115,6527125,2.2299485206604,2018-08-28
"670",457125,6527125,2.10035133361816,2018-08-28
"671",457135,6527125,2.10035133361816,2018-08-28
"672",457145,6527125,1.55528581142426,2018-08-28
"812",457145,6527115,1.92578446865082,2018-08-28
"813",457155,6527115,1.92578446865082,2018-08-28
"952",457145,6527105,1.92578446865082,2018-08-28
"953",457155,6527105,1.92578446865082,2018-08-28
"1602",456645,6527055,1.52231466770172,2018-08-28
"1603",456655,6527055,1.52231466770172,2018-08-28
"1604",456665,6527055,1.48812210559845,2018-08-28
"1744",456665,6527045,1.48812210559845,2018-08-28
"1745",456675,6527045,1.48812210559845,2018-08-28
"1885",456675,6527035,1.37489283084869,2018-08-28
"1886",456685,6527035,1.31614315509796,2018-08-28
"1892",456745,6527035,1.65781390666962,2018-08-28
"1893",456755,6527035,1.65781390666962,2018-08-28
"2170",456725,6527015,1.24601531028748,2018-08-28
"3176",456985,6526945,1.72791481018066,2018-08-28
"3177",456995,6526945,1.72791481018066,2018-08-28
"4714",456965,6526835,2.15633082389832,2018-08-28
"4715",456975,6526835,2.15633082389832,2018-08-28
"4854",456965,6526825,2.15633082389832,2018-08-28
"4855",456975,6526825,2.15633082389832,2018-08-28
"4856",456985,6526825,2.77659869194031,2018-08-28
"5488",456305,6526775,1.47302424907684,2018-08-28
"6601",456235,6526695,1.5988005399704,2018-08-28
"8508",457105,6526565,1.49575042724609,2018-08-28
"8509",457115,6526565,1.49575042724609,2018-08-28
"8686",456085,6526545,1.59163057804108,2018-08-28
"13121",457035,6526235,1.17991030216217,2018-08-28
"22646",457085,6525555,1.88582050800323,2018-08-28
"22647",457095,6525555,1.88582050800323,2018-08-28
