"","x","y","NDVI","Date"
"1650",457125,6527055,0.507221758365631,2018-06-26
"1651",457135,6527055,0.52992194890976,2018-06-26
"1652",457145,6527055,0.5625,2018-06-26
"1653",457155,6527055,0.591731250286102,2018-06-26
"1654",457165,6527055,0.596595764160156,2018-06-26
"1655",457175,6527055,0.581000864505768,2018-06-26
"1656",457185,6527055,0.594417095184326,2018-06-26
"1657",457195,6527055,0.629515767097473,2018-06-26
"1658",457205,6527055,0.617274761199951,2018-06-26
"1659",457215,6527055,0.621621608734131,2018-06-26
"1660",457225,6527055,0.611916244029999,2018-06-26
"1661",457235,6527055,0.593522250652313,2018-06-26
"1662",457245,6527055,0.614179730415344,2018-06-26
"1713",456355,6527045,0.207560136914253,2018-06-26
"1786",457085,6527045,0.438029259443283,2018-06-26
"1787",457095,6527045,0.42385596036911,2018-06-26
"1790",457125,6527045,0.529512405395508,2018-06-26
"1791",457135,6527045,0.549421191215515,2018-06-26
"1792",457145,6527045,0.581981956958771,2018-06-26
"1793",457155,6527045,0.581722319126129,2018-06-26
"1794",457165,6527045,0.602420032024384,2018-06-26
"1795",457175,6527045,0.607638895511627,2018-06-26
"1796",457185,6527045,0.579113900661469,2018-06-26
"1797",457195,6527045,0.589001476764679,2018-06-26
"1798",457205,6527045,0.615439593791962,2018-06-26
"1799",457215,6527045,0.625899255275726,2018-06-26
"1800",457225,6527045,0.640483379364014,2018-06-26
"1801",457235,6527045,0.642633199691772,2018-06-26
"1802",457245,6527045,0.629746854305267,2018-06-26
"1803",457255,6527045,0.604957401752472,2018-06-26
"1924",457065,6527035,0.464809387922287,2018-06-26
"1925",457075,6527035,0.486209601163864,2018-06-26
"1926",457085,6527035,0.483333319425583,2018-06-26
"1927",457095,6527035,0.485131680965424,2018-06-26
"1928",457105,6527035,0.508951425552368,2018-06-26
"1929",457115,6527035,0.527178585529327,2018-06-26
"1930",457125,6527035,0.549822092056274,2018-06-26
"1931",457135,6527035,0.559817373752594,2018-06-26
"1932",457145,6527035,0.576923072338104,2018-06-26
"1933",457155,6527035,0.553003549575806,2018-06-26
"1934",457165,6527035,0.603478252887726,2018-06-26
"1935",457175,6527035,0.640982210636139,2018-06-26
"1936",457185,6527035,0.582945764064789,2018-06-26
"1937",457195,6527035,0.577380955219269,2018-06-26
"1938",457205,6527035,0.616022109985352,2018-06-26
"1939",457215,6527035,0.646753251552582,2018-06-26
"1940",457225,6527035,0.657027542591095,2018-06-26
"1941",457235,6527035,0.63037246465683,2018-06-26
"1942",457245,6527035,0.611721634864807,2018-06-26
"1943",457255,6527035,0.62662810087204,2018-06-26
"1944",457265,6527035,0.639485001564026,2018-06-26
"1997",456395,6527025,0.139341741800308,2018-06-26
"2062",457045,6527025,0.466576635837555,2018-06-26
"2063",457055,6527025,0.437223047018051,2018-06-26
"2064",457065,6527025,0.48251748085022,2018-06-26
"2065",457075,6527025,0.512944996356964,2018-06-26
"2066",457085,6527025,0.489086508750916,2018-06-26
"2067",457095,6527025,0.469387769699097,2018-06-26
"2068",457105,6527025,0.505823612213135,2018-06-26
"2069",457115,6527025,0.526730954647064,2018-06-26
"2070",457125,6527025,0.533394336700439,2018-06-26
"2071",457135,6527025,0.561290323734283,2018-06-26
"2072",457145,6527025,0.54159289598465,2018-06-26
"2073",457155,6527025,0.54497355222702,2018-06-26
"2074",457165,6527025,0.608378887176514,2018-06-26
"2075",457175,6527025,0.618466913700104,2018-06-26
"2076",457185,6527025,0.567393064498901,2018-06-26
"2077",457195,6527025,0.579754590988159,2018-06-26
"2078",457205,6527025,0.609164416790009,2018-06-26
"2079",457215,6527025,0.632265746593475,2018-06-26
"2080",457225,6527025,0.645933032035828,2018-06-26
"2081",457235,6527025,0.63416188955307,2018-06-26
"2082",457245,6527025,0.62784469127655,2018-06-26
"2083",457255,6527025,0.642616331577301,2018-06-26
"2084",457265,6527025,0.641157567501068,2018-06-26
"2085",457275,6527025,0.631794273853302,2018-06-26
"2202",457045,6527015,0.483915120363235,2018-06-26
"2203",457055,6527015,0.44696968793869,2018-06-26
"2204",457065,6527015,0.476230204105377,2018-06-26
"2205",457075,6527015,0.516835033893585,2018-06-26
"2206",457085,6527015,0.480031311511993,2018-06-26
"2207",457095,6527015,0.452648460865021,2018-06-26
"2208",457105,6527015,0.478991597890854,2018-06-26
"2209",457115,6527015,0.51332151889801,2018-06-26
"2210",457125,6527015,0.530176401138306,2018-06-26
"2211",457135,6527015,0.572232663631439,2018-06-26
"2212",457145,6527015,0.543612360954285,2018-06-26
"2213",457155,6527015,0.560763895511627,2018-06-26
"2214",457165,6527015,0.601436257362366,2018-06-26
"2215",457175,6527015,0.585585594177246,2018-06-26
"2216",457185,6527015,0.574722468852997,2018-06-26
"2217",457195,6527015,0.586802840232849,2018-06-26
"2218",457205,6527015,0.59059476852417,2018-06-26
"2219",457215,6527015,0.596587419509888,2018-06-26
"2220",457225,6527015,0.629885077476501,2018-06-26
"2221",457235,6527015,0.665137588977814,2018-06-26
"2222",457245,6527015,0.644067823886871,2018-06-26
"2223",457255,6527015,0.663695752620697,2018-06-26
"2224",457265,6527015,0.642741501331329,2018-06-26
"2225",457275,6527015,0.632929801940918,2018-06-26
"2226",457285,6527015,0.643396198749542,2018-06-26
"2341",457035,6527005,0.414752125740051,2018-06-26
"2342",457045,6527005,0.43172413110733,2018-06-26
"2343",457055,6527005,0.483820050954819,2018-06-26
"2344",457065,6527005,0.494468092918396,2018-06-26
"2346",457085,6527005,0.493897467851639,2018-06-26
"2347",457095,6527005,0.486146092414856,2018-06-26
"2348",457105,6527005,0.474678099155426,2018-06-26
"2349",457115,6527005,0.490230917930603,2018-06-26
"2350",457125,6527005,0.515315294265747,2018-06-26
"2351",457135,6527005,0.539555549621582,2018-06-26
"2352",457145,6527005,0.566182732582092,2018-06-26
"2353",457155,6527005,0.609060406684875,2018-06-26
"2354",457165,6527005,0.613526582717896,2018-06-26
"2355",457175,6527005,0.612850069999695,2018-06-26
"2356",457185,6527005,0.612850069999695,2018-06-26
"2357",457195,6527005,0.631372570991516,2018-06-26
"2358",457205,6527005,0.62855064868927,2018-06-26
"2359",457215,6527005,0.615539193153381,2018-06-26
"2360",457225,6527005,0.621943950653076,2018-06-26
"2361",457235,6527005,0.63707423210144,2018-06-26
"2362",457245,6527005,0.635321080684662,2018-06-26
"2363",457255,6527005,0.656755328178406,2018-06-26
"2364",457265,6527005,0.648673355579376,2018-06-26
"2365",457275,6527005,0.678721606731415,2018-06-26
"2366",457285,6527005,0.66501647233963,2018-06-26
"2367",457295,6527005,0.661073803901672,2018-06-26
"2482",457045,6526995,0.439451634883881,2018-06-26
"2483",457055,6526995,0.460317462682724,2018-06-26
"2484",457065,6526995,0.489214837551117,2018-06-26
"2486",457085,6526995,0.507340967655182,2018-06-26
"2487",457095,6526995,0.497949153184891,2018-06-26
"2488",457105,6526995,0.485080987215042,2018-06-26
"2489",457115,6526995,0.482332170009613,2018-06-26
"2490",457125,6526995,0.501760542392731,2018-06-26
"2491",457135,6526995,0.530391335487366,2018-06-26
"2492",457145,6526995,0.539695262908936,2018-06-26
"2493",457155,6526995,0.575221240520477,2018-06-26
"2494",457165,6526995,0.605421662330627,2018-06-26
"2495",457175,6526995,0.645046353340149,2018-06-26
"2496",457185,6526995,0.623443245887756,2018-06-26
"2497",457195,6526995,0.639586389064789,2018-06-26
"2498",457205,6526995,0.657553970813751,2018-06-26
