"","x","y","NDVI","Date"
"234",456965,6527155,0.707444846630096,2018-09-29
"235",456975,6527155,0.752328395843506,2018-09-29
"236",456985,6527155,0.722102224826813,2018-09-29
"237",456995,6527155,0.716920912265778,2018-09-29
"238",457005,6527155,0.717713475227356,2018-09-29
"239",457015,6527155,0.719507932662964,2018-09-29
"240",457025,6527155,0.734647452831268,2018-09-29
"241",457035,6527155,0.73304158449173,2018-09-29
"242",457045,6527155,0.715692281723022,2018-09-29
"243",457055,6527155,0.709703266620636,2018-09-29
"244",457065,6527155,0.698815584182739,2018-09-29
"245",457075,6527155,0.687738001346588,2018-09-29
"371",456935,6527145,0.693786025047302,2018-09-29
"372",456945,6527145,0.679012358188629,2018-09-29
"373",456955,6527145,0.720114231109619,2018-09-29
"374",456965,6527145,0.717223644256592,2018-09-29
"375",456975,6527145,0.735231339931488,2018-09-29
"376",456985,6527145,0.721428573131561,2018-09-29
"377",456995,6527145,0.724091529846191,2018-09-29
"378",457005,6527145,0.715828537940979,2018-09-29
"379",457015,6527145,0.739935874938965,2018-09-29
"380",457025,6527145,0.749158263206482,2018-09-29
"381",457035,6527145,0.733195424079895,2018-09-29
"382",457045,6527145,0.763440847396851,2018-09-29
"383",457055,6527145,0.697262465953827,2018-09-29
"384",457065,6527145,0.67592591047287,2018-09-29
"385",457075,6527145,0.704323589801788,2018-09-29
"386",457085,6527145,0.720657289028168,2018-09-29
"387",457095,6527145,0.701474905014038,2018-09-29
"388",457105,6527145,0.691616773605347,2018-09-29
"508",456905,6527135,0.693430662155151,2018-09-29
"509",456915,6527135,0.695752918720245,2018-09-29
"510",456925,6527135,0.697240889072418,2018-09-29
"511",456935,6527135,0.715099692344666,2018-09-29
"512",456945,6527135,0.675443947315216,2018-09-29
"513",456955,6527135,0.701492547988892,2018-09-29
"514",456965,6527135,0.710273444652557,2018-09-29
"515",456975,6527135,0.729887127876282,2018-09-29
"516",456985,6527135,0.696576595306396,2018-09-29
"517",456995,6527135,0.725373148918152,2018-09-29
"518",457005,6527135,0.716088354587555,2018-09-29
"519",457015,6527135,0.731152772903442,2018-09-29
"520",457025,6527135,0.737037062644958,2018-09-29
"521",457035,6527135,0.708055734634399,2018-09-29
"522",457045,6527135,0.679775297641754,2018-09-29
"523",457055,6527135,0.680945336818695,2018-09-29
"524",457065,6527135,0.700632452964783,2018-09-29
"525",457075,6527135,0.711414217948914,2018-09-29
"526",457085,6527135,0.704160273075104,2018-09-29
"527",457095,6527135,0.689909756183624,2018-09-29
"528",457105,6527135,0.668202757835388,2018-09-29
"529",457115,6527135,0.656050980091095,2018-09-29
"530",457125,6527135,0.626692473888397,2018-09-29
"647",456895,6527125,0.673913061618805,2018-09-29
"648",456905,6527125,0.696043193340302,2018-09-29
"649",456915,6527125,0.700087189674377,2018-09-29
"650",456925,6527125,0.677631556987762,2018-09-29
"651",456935,6527125,0.661097824573517,2018-09-29
"652",456945,6527125,0.664447426795959,2018-09-29
"653",456955,6527125,0.691134393215179,2018-09-29
"654",456965,6527125,0.70637971162796,2018-09-29
"655",456975,6527125,0.718529522418976,2018-09-29
"656",456985,6527125,0.691502213478088,2018-09-29
"657",456995,6527125,0.739565968513489,2018-09-29
"658",457005,6527125,0.699999988079071,2018-09-29
"659",457015,6527125,0.742456436157227,2018-09-29
"660",457025,6527125,0.725642263889313,2018-09-29
"661",457035,6527125,0.71500951051712,2018-09-29
"662",457045,6527125,0.705967962741852,2018-09-29
"663",457055,6527125,0.679937541484833,2018-09-29
"664",457065,6527125,0.674099504947662,2018-09-29
"665",457075,6527125,0.662139236927032,2018-09-29
"666",457085,6527125,0.636687457561493,2018-09-29
"667",457095,6527125,0.682060420513153,2018-09-29
"668",457105,6527125,0.664527952671051,2018-09-29
"669",457115,6527125,0.639999985694885,2018-09-29
"670",457125,6527125,0.653999984264374,2018-09-29
"671",457135,6527125,0.617497444152832,2018-09-29
"672",457145,6527125,0.611971080303192,2018-09-29
"785",456875,6527115,0.688235282897949,2018-09-29
"786",456885,6527115,0.685308039188385,2018-09-29
"787",456895,6527115,0.697077035903931,2018-09-29
"788",456905,6527115,0.692974865436554,2018-09-29
"789",456915,6527115,0.699910163879395,2018-09-29
"790",456925,6527115,0.713028192520142,2018-09-29
"791",456935,6527115,0.668308675289154,2018-09-29
"792",456945,6527115,0.663888871669769,2018-09-29
"793",456955,6527115,0.658119678497314,2018-09-29
"794",456965,6527115,0.675046920776367,2018-09-29
"795",456975,6527115,0.715785503387451,2018-09-29
"796",456985,6527115,0.719789862632751,2018-09-29
"797",456995,6527115,0.725490212440491,2018-09-29
"798",457005,6527115,0.693167150020599,2018-09-29
"799",457015,6527115,0.737598538398743,2018-09-29
"800",457025,6527115,0.710285425186157,2018-09-29
"801",457035,6527115,0.671809256076813,2018-09-29
"802",457045,6527115,0.683523654937744,2018-09-29
"803",457055,6527115,0.658914744853973,2018-09-29
"804",457065,6527115,0.625912427902222,2018-09-29
"805",457075,6527115,0.624775588512421,2018-09-29
"806",457085,6527115,0.654431521892548,2018-09-29
"807",457095,6527115,0.680981576442719,2018-09-29
"808",457105,6527115,0.633644878864288,2018-09-29
"809",457115,6527115,0.59384024143219,2018-09-29
"810",457125,6527115,0.612225413322449,2018-09-29
"811",457135,6527115,0.63692307472229,2018-09-29
"812",457145,6527115,0.589692771434784,2018-09-29
"813",457155,6527115,0.639877915382385,2018-09-29
"814",457165,6527115,0.663135588169098,2018-09-29
"923",456855,6527105,0.69798070192337,2018-09-29
"924",456865,6527105,0.702202618122101,2018-09-29
"925",456875,6527105,0.712727248668671,2018-09-29
"926",456885,6527105,0.67025089263916,2018-09-29
"927",456895,6527105,0.684569478034973,2018-09-29
"928",456905,6527105,0.66783219575882,2018-09-29
"929",456915,6527105,0.645133495330811,2018-09-29
