"","x","y","STR","Date"
"10408",456505,6526425,3.58418560028076,2018-07-09
"10547",456495,6526415,3.18601250648499,2018-07-09
"10548",456505,6526415,4.19788074493408,2018-07-09
"10687",456495,6526405,3.18601250648499,2018-07-09
"10688",456505,6526405,4.19788074493408,2018-07-09
"10689",456515,6526405,4.19788074493408,2018-07-09
"10826",456485,6526395,3.81889414787292,2018-07-09
"10827",456495,6526395,3.81889414787292,2018-07-09
"10828",456505,6526395,4.40001916885376,2018-07-09
"11109",456515,6526375,4.66874694824219,2018-07-09
"11249",456515,6526365,4.66874694824219,2018-07-09
"11389",456515,6526355,5.63420581817627,2018-07-09
"11529",456515,6526345,5.63420581817627,2018-07-09
"11809",456515,6526325,5.83947086334229,2018-07-09
"11949",456515,6526315,5.4086766242981,2018-07-09
"12089",456515,6526305,5.4086766242981,2018-07-09
"14106",457085,6526165,4.89070320129395,2018-07-09
"14247",457095,6526155,5.08729934692383,2018-07-09
"14383",457055,6526145,2.59455800056458,2018-07-09
"14387",457095,6526145,5.08729934692383,2018-07-09
"14467",456495,6526135,5.10185575485229,2018-07-09
"14468",456505,6526135,5.65155696868896,2018-07-09
"14523",457055,6526135,4.91114473342896,2018-07-09
"14527",457095,6526135,5.61694765090942,2018-07-09
"14528",457105,6526135,4.83023691177368,2018-07-09
"14608",456505,6526125,5.65155696868896,2018-07-09
"14609",456515,6526125,5.65155696868896,2018-07-09
"14661",457035,6526125,3.57609558105469,2018-07-09
"14662",457045,6526125,4.91114473342896,2018-07-09
"14663",457055,6526125,4.91114473342896,2018-07-09
"14666",457085,6526125,5.61694765090942,2018-07-09
"14667",457095,6526125,5.61694765090942,2018-07-09
"14668",457105,6526125,4.83023691177368,2018-07-09
"14799",457015,6526115,3.79208660125732,2018-07-09
"14800",457025,6526115,5.15336942672729,2018-07-09
"14802",457045,6526115,5.19823503494263,2018-07-09
"14803",457055,6526115,5.19823503494263,2018-07-09
"14806",457085,6526115,5.10185575485229,2018-07-09
"14807",457095,6526115,5.10185575485229,2018-07-09
"14808",457105,6526115,4.04999971389771,2018-07-09
"14891",456535,6526105,6.11745262145996,2018-07-09
"14943",457055,6526105,5.19823503494263,2018-07-09
"14946",457085,6526105,5.10185575485229,2018-07-09
"14947",457095,6526105,5.10185575485229,2018-07-09
"15026",456485,6526095,7.76985883712769,2018-07-09
"15027",456495,6526095,7.76985883712769,2018-07-09
"15031",456535,6526095,6.26003313064575,2018-07-09
"15032",456545,6526095,6.10748624801636,2018-07-09
"15166",456485,6526085,7.76985883712769,2018-07-09
"15167",456495,6526085,7.76985883712769,2018-07-09
"15168",456505,6526085,6.19822406768799,2018-07-09
"15173",456555,6526085,6.10748624801636,2018-07-09
"15306",456485,6526075,7.4190616607666,2018-07-09
"15307",456495,6526075,7.4190616607666,2018-07-09
"15313",456555,6526075,6.00935077667236,2018-07-09
"15314",456565,6526075,4.05992031097412,2018-07-09
"15448",456505,6526065,6.70131158828735,2018-07-09
"15454",456565,6526065,4.05992031097412,2018-07-09
"16051",456935,6526025,3.34646463394165,2018-07-09
"16190",456925,6526015,2.94638752937317,2018-07-09
"17027",456895,6525955,3.44296479225159,2018-07-09
"17028",456905,6525955,4.41140699386597,2018-07-09
"17029",456915,6525955,4.41140699386597,2018-07-09
"17166",456885,6525945,3.44296479225159,2018-07-09
"17167",456895,6525945,3.44296479225159,2018-07-09
"17168",456905,6525945,4.41140699386597,2018-07-09
"17169",456915,6525945,4.41140699386597,2018-07-09
"17299",456815,6525935,3.87805461883545,2018-07-09
"17300",456825,6525935,4.49252319335938,2018-07-09
"17306",456885,6525935,3.64998817443848,2018-07-09
"17307",456895,6525935,3.64998817443848,2018-07-09
"17308",456905,6525935,4.54000568389893,2018-07-09
"17309",456915,6525935,4.54000568389893,2018-07-09
"17310",456925,6525935,5.1907114982605,2018-07-09
"17441",456835,6525925,4.49252319335938,2018-07-09
"17442",456845,6525925,4.48664665222168,2018-07-09
"17446",456885,6525925,3.64998817443848,2018-07-09
"17447",456895,6525925,3.64998817443848,2018-07-09
"17448",456905,6525925,4.54000568389893,2018-07-09
"17449",456915,6525925,4.54000568389893,2018-07-09
"17450",456925,6525925,5.1907114982605,2018-07-09
"17451",456935,6525925,5.1907114982605,2018-07-09
"17452",456945,6525925,5.10916090011597,2018-07-09
"17453",456955,6525925,5.10916090011597,2018-07-09
"17454",456965,6525925,4.90431499481201,2018-07-09
"17455",456975,6525925,4.90431499481201,2018-07-09
"17457",456995,6525925,5.1682505607605,2018-07-09
"17458",457005,6525925,5.46563529968262,2018-07-09
"17459",457015,6525925,5.46563529968262,2018-07-09
"17583",456855,6525915,4.70666456222534,2018-07-09
"17586",456885,6525915,4.43433094024658,2018-07-09
"17587",456895,6525915,4.43433094024658,2018-07-09
"17588",456905,6525915,5.54040098190308,2018-07-09
"17589",456915,6525915,5.54040098190308,2018-07-09
"17590",456925,6525915,5.49036264419556,2018-07-09
"17591",456935,6525915,5.49036264419556,2018-07-09
"17592",456945,6525915,5.3369288444519,2018-07-09
"17593",456955,6525915,5.3369288444519,2018-07-09
"17594",456965,6525915,5.09456872940063,2018-07-09
"17595",456975,6525915,5.09456872940063,2018-07-09
"17596",456985,6525915,5.0084867477417,2018-07-09
"17597",456995,6525915,5.0084867477417,2018-07-09
"17599",457015,6525915,5.43296194076538,2018-07-09
"17600",457025,6525915,5.29777240753174,2018-07-09
"17723",456855,6525905,4.70666456222534,2018-07-09
"17727",456895,6525905,4.43433094024658,2018-07-09
"17728",456905,6525905,5.54040098190308,2018-07-09
"17729",456915,6525905,5.54040098190308,2018-07-09
"17730",456925,6525905,5.49036264419556,2018-07-09
"17731",456935,6525905,5.49036264419556,2018-07-09
"17732",456945,6525905,5.3369288444519,2018-07-09
"17733",456955,6525905,5.3369288444519,2018-07-09
"17734",456965,6525905,5.09456872940063,2018-07-09
"17735",456975,6525905,5.09456872940063,2018-07-09
"17736",456985,6525905,5.0084867477417,2018-07-09
"17737",456995,6525905,5.0084867477417,2018-07-09
"17738",457005,6525905,5.43296194076538,2018-07-09
"17739",457015,6525905,5.43296194076538,2018-07-09
"17864",456865,6525895,5.29777240753174,2018-07-09
"17865",456875,6525895,5.29777240753174,2018-07-09
"17866",456885,6525895,5.37658548355103,2018-07-09
"17867",456895,6525895,5.37658548355103,2018-07-09
"17868",456905,6525895,5.84868907928467,2018-07-09
"17869",456915,6525895,5.84868907928467,2018-07-09
"17870",456925,6525895,5.41675090789795,2018-07-09
"17871",456935,6525895,5.41675090789795,2018-07-09
"17872",456945,6525895,5.25143003463745,2018-07-09
"17873",456955,6525895,5.25143003463745,2018-07-09
"17874",456965,6525895,4.64998149871826,2018-07-09
"17875",456975,6525895,4.64998149871826,2018-07-09
"17876",456985,6525895,4.16137456893921,2018-07-09
"17877",456995,6525895,4.16137456893921,2018-07-09
"17878",457005,6525895,4.22428321838379,2018-07-09
"17879",457015,6525895,4.22428321838379,2018-07-09
"18006",456885,6525885,5.37658548355103,2018-07-09
"18007",456895,6525885,5.37658548355103,2018-07-09
"18008",456905,6525885,5.84868907928467,2018-07-09
"18009",456915,6525885,5.84868907928467,2018-07-09
"18010",456925,6525885,5.41675090789795,2018-07-09
"18011",456935,6525885,5.41675090789795,2018-07-09
"18012",456945,6525885,5.25143003463745,2018-07-09
"18013",456955,6525885,5.25143003463745,2018-07-09
"18014",456965,6525885,4.64998149871826,2018-07-09
"18015",456975,6525885,4.64998149871826,2018-07-09
"18016",456985,6525885,4.16137456893921,2018-07-09
