"","x","y","NDVI","Date"
"234",456965,6527155,0.680403709411621,2018-05-17
"235",456975,6527155,0.674399673938751,2018-05-17
"236",456985,6527155,0.693548381328583,2018-05-17
"237",456995,6527155,0.673041880130768,2018-05-17
"238",457005,6527155,0.669928848743439,2018-05-17
"239",457015,6527155,0.674610435962677,2018-05-17
"240",457025,6527155,0.670349895954132,2018-05-17
"241",457035,6527155,0.66903281211853,2018-05-17
"242",457045,6527155,0.676957488059998,2018-05-17
"243",457055,6527155,0.687440991401672,2018-05-17
"244",457065,6527155,0.685158848762512,2018-05-17
"245",457075,6527155,0.68007755279541,2018-05-17
"371",456935,6527145,0.684298932552338,2018-05-17
"372",456945,6527145,0.680730760097504,2018-05-17
"373",456955,6527145,0.697457611560822,2018-05-17
"374",456965,6527145,0.677994906902313,2018-05-17
"375",456975,6527145,0.689862549304962,2018-05-17
"376",456985,6527145,0.679075717926025,2018-05-17
"377",456995,6527145,0.666958034038544,2018-05-17
"378",457005,6527145,0.673796772956848,2018-05-17
"379",457015,6527145,0.677276730537415,2018-05-17
"380",457025,6527145,0.663092017173767,2018-05-17
"381",457035,6527145,0.680755376815796,2018-05-17
"382",457045,6527145,0.666074573993683,2018-05-17
"383",457055,6527145,0.680000007152557,2018-05-17
"384",457065,6527145,0.712900102138519,2018-05-17
"385",457075,6527145,0.724829137325287,2018-05-17
"386",457085,6527145,0.721271395683289,2018-05-17
"387",457095,6527145,0.748481571674347,2018-05-17
"388",457105,6527145,0.742897748947144,2018-05-17
"508",456905,6527135,0.707465291023254,2018-05-17
"509",456915,6527135,0.695116758346558,2018-05-17
"510",456925,6527135,0.689194977283478,2018-05-17
"511",456935,6527135,0.694468855857849,2018-05-17
"512",456945,6527135,0.674653232097626,2018-05-17
"513",456955,6527135,0.699136853218079,2018-05-17
"514",456965,6527135,0.686941742897034,2018-05-17
"515",456975,6527135,0.692507565021515,2018-05-17
"516",456985,6527135,0.693639099597931,2018-05-17
"517",456995,6527135,0.674698770046234,2018-05-17
"518",457005,6527135,0.662242591381073,2018-05-17
"519",457015,6527135,0.662737965583801,2018-05-17
"520",457025,6527135,0.662727296352386,2018-05-17
"521",457035,6527135,0.67422491312027,2018-05-17
"522",457045,6527135,0.657066881656647,2018-05-17
"523",457055,6527135,0.68804919719696,2018-05-17
"524",457065,6527135,0.727610409259796,2018-05-17
"525",457075,6527135,0.732064425945282,2018-05-17
"526",457085,6527135,0.719529092311859,2018-05-17
"527",457095,6527135,0.694414436817169,2018-05-17
"528",457105,6527135,0.681518793106079,2018-05-17
"529",457115,6527135,0.675383985042572,2018-05-17
"530",457125,6527135,0.687340676784515,2018-05-17
"647",456895,6527125,0.682709455490112,2018-05-17
"648",456905,6527125,0.696494460105896,2018-05-17
"649",456915,6527125,0.67809784412384,2018-05-17
"650",456925,6527125,0.677652359008789,2018-05-17
"651",456935,6527125,0.690917313098907,2018-05-17
"652",456945,6527125,0.665392756462097,2018-05-17
"653",456955,6527125,0.696686506271362,2018-05-17
"654",456965,6527125,0.686933994293213,2018-05-17
