"","x","y","STR","Date"
"4845",456875,6526825,3.37937116622925,2018-09-22
"4985",456875,6526815,3.50459837913513,2018-09-22
"5125",456875,6526805,3.50459837913513,2018-09-22
"5265",456875,6526795,3.62508416175842,2018-09-22
"5266",456885,6526795,3.23009157180786,2018-09-22
"5406",456885,6526785,3.23009157180786,2018-09-22
"12753",456155,6526255,3.10067224502563,2018-09-22
"12754",456165,6526255,2.78472208976746,2018-09-22
"13865",456075,6526175,2.56083369255066,2018-09-22
"17255",456375,6525935,1.57155573368073,2018-09-22
"17257",456395,6525935,1.56921708583832,2018-09-22
"17397",456395,6525925,1.56921708583832,2018-09-22
"17400",456425,6525925,1.5347067117691,2018-09-22
"17401",456435,6525925,1.5347067117691,2018-09-22
"17405",456475,6525925,1.51672732830048,2018-09-22
"17807",456295,6525895,1.8411750793457,2018-09-22
"18934",456365,6525815,1.75493979454041,2018-09-22
"18940",456425,6525815,1.53357446193695,2018-09-22
"19075",456375,6525805,1.75493979454041,2018-09-22
"19076",456385,6525805,1.69105684757233,2018-09-22
"19079",456415,6525805,1.61449062824249,2018-09-22
"19080",456425,6525805,1.53357446193695,2018-09-22
"19081",456435,6525805,1.53357446193695,2018-09-22
"19082",456445,6525805,1.45181572437286,2018-09-22
"19083",456455,6525805,1.45181572437286,2018-09-22
"19084",456465,6525805,1.43514668941498,2018-09-22
"19216",456385,6525795,1.77977752685547,2018-09-22
"19217",456395,6525795,1.77977752685547,2018-09-22
"19220",456425,6525795,1.63657104969025,2018-09-22
"19222",456445,6525795,1.51561319828033,2018-09-22
"19223",456455,6525795,1.51561319828033,2018-09-22
"19357",456395,6525785,1.77977752685547,2018-09-22
"19362",456445,6525785,1.51561319828033,2018-09-22
"19504",456465,6525775,1.54609274864197,2018-09-22
"19505",456475,6525775,1.54609274864197,2018-09-22
"19646",456485,6525765,1.51116824150085,2018-09-22
"19663",456655,6525765,1.43411350250244,2018-09-22
"22495",456975,6525565,2.24160552024841,2018-09-22
"22496",456985,6525565,1.99790585041046,2018-09-22
"22635",456975,6525555,2.47939467430115,2018-09-22
"22636",456985,6525555,2.31145286560059,2018-09-22
"22637",456995,6525555,2.31145286560059,2018-09-22
"22638",457005,6525555,2.03629374504089,2018-09-22
"22775",456975,6525545,2.47939467430115,2018-09-22
"22776",456985,6525545,2.31145286560059,2018-09-22
"22777",456995,6525545,2.31145286560059,2018-09-22
"22778",457005,6525545,2.03629374504089,2018-09-22
"22916",456985,6525535,2.51844954490662,2018-09-22
"22917",456995,6525535,2.51844954490662,2018-09-22
"22918",457005,6525535,2.34030747413635,2018-09-22
"23056",456985,6525525,2.51844954490662,2018-09-22
"23057",456995,6525525,2.51844954490662,2018-09-22
"23059",457015,6525525,2.34030747413635,2018-09-22
"23198",457005,6525515,2.5848536491394,2018-09-22
