"","x","y","NDVI","Date"
"234",456965,6527155,0.711119294166565,2018-06-14
"235",456975,6527155,0.718095242977142,2018-06-14
"236",456985,6527155,0.689984083175659,2018-06-14
"237",456995,6527155,0.691629946231842,2018-06-14
"238",457005,6527155,0.688796699047089,2018-06-14
"239",457015,6527155,0.699999988079071,2018-06-14
"240",457025,6527155,0.706965565681458,2018-06-14
"241",457035,6527155,0.706451594829559,2018-06-14
"242",457045,6527155,0.703105032444,2018-06-14
"243",457055,6527155,0.708127498626709,2018-06-14
"244",457065,6527155,0.724014341831207,2018-06-14
"245",457075,6527155,0.736636221408844,2018-06-14
"371",456935,6527145,0.727620482444763,2018-06-14
"372",456945,6527145,0.741439044475555,2018-06-14
"373",456955,6527145,0.737777769565582,2018-06-14
"374",456965,6527145,0.71295577287674,2018-06-14
"375",456975,6527145,0.701176464557648,2018-06-14
"376",456985,6527145,0.695599496364594,2018-06-14
"377",456995,6527145,0.702605187892914,2018-06-14
"378",457005,6527145,0.686023235321045,2018-06-14
"379",457015,6527145,0.71781986951828,2018-06-14
"380",457025,6527145,0.713942289352417,2018-06-14
"381",457035,6527145,0.71863728761673,2018-06-14
"382",457045,6527145,0.714877724647522,2018-06-14
"383",457055,6527145,0.720017433166504,2018-06-14
"384",457065,6527145,0.760229110717773,2018-06-14
"385",457075,6527145,0.774872899055481,2018-06-14
"386",457085,6527145,0.781197726726532,2018-06-14
"387",457095,6527145,0.785256385803223,2018-06-14
"388",457105,6527145,0.775902807712555,2018-06-14
"508",456905,6527135,0.734387338161469,2018-06-14
"509",456915,6527135,0.739960253238678,2018-06-14
"510",456925,6527135,0.733487844467163,2018-06-14
"511",456935,6527135,0.728687942028046,2018-06-14
"512",456945,6527135,0.744169116020203,2018-06-14
"513",456955,6527135,0.745053291320801,2018-06-14
"514",456965,6527135,0.718442797660828,2018-06-14
"515",456975,6527135,0.728593289852142,2018-06-14
"516",456985,6527135,0.711059212684631,2018-06-14
"517",456995,6527135,0.710557520389557,2018-06-14
"518",457005,6527135,0.665292680263519,2018-06-14
"519",457015,6527135,0.70202624797821,2018-06-14
"520",457025,6527135,0.698825478553772,2018-06-14
"521",457035,6527135,0.702801465988159,2018-06-14
"522",457045,6527135,0.725274741649628,2018-06-14
"523",457055,6527135,0.742441236972809,2018-06-14
"524",457065,6527135,0.776639997959137,2018-06-14
"525",457075,6527135,0.759021043777466,2018-06-14
"526",457085,6527135,0.744419276714325,2018-06-14
"527",457095,6527135,0.733239710330963,2018-06-14
"528",457105,6527135,0.718320310115814,2018-06-14
"529",457115,6527135,0.736679553985596,2018-06-14
"530",457125,6527135,0.715883672237396,2018-06-14
"647",456895,6527125,0.728415071964264,2018-06-14
"648",456905,6527125,0.719253599643707,2018-06-14
"649",456915,6527125,0.730420470237732,2018-06-14
"650",456925,6527125,0.730769217014313,2018-06-14
