"","x","y","STR","Date"
"234",456965,6527155,28.9484710693359,2018-09-24
"235",456975,6527155,28.9484710693359,2018-09-24
"236",456985,6527155,30.8549842834473,2018-09-24
"237",456995,6527155,30.8549842834473,2018-09-24
"238",457005,6527155,29.8722972869873,2018-09-24
"239",457015,6527155,29.8722972869873,2018-09-24
"240",457025,6527155,27.9103832244873,2018-09-24
"241",457035,6527155,27.9103832244873,2018-09-24
"242",457045,6527155,26.9419116973877,2018-09-24
"243",457055,6527155,26.9419116973877,2018-09-24
"244",457065,6527155,25.6051445007324,2018-09-24
"245",457075,6527155,25.6051445007324,2018-09-24
"371",456935,6527145,27.9103832244873,2018-09-24
"372",456945,6527145,28.7703056335449,2018-09-24
"373",456955,6527145,28.7703056335449,2018-09-24
"374",456965,6527145,28.9484710693359,2018-09-24
"375",456975,6527145,28.9484710693359,2018-09-24
"376",456985,6527145,30.8549842834473,2018-09-24
"377",456995,6527145,30.8549842834473,2018-09-24
"378",457005,6527145,29.8722972869873,2018-09-24
"379",457015,6527145,29.8722972869873,2018-09-24
"380",457025,6527145,27.9103832244873,2018-09-24
"381",457035,6527145,27.9103832244873,2018-09-24
"382",457045,6527145,26.9419116973877,2018-09-24
"383",457055,6527145,26.9419116973877,2018-09-24
"384",457065,6527145,25.6051445007324,2018-09-24
"385",457075,6527145,25.6051445007324,2018-09-24
"386",457085,6527145,25.7473182678223,2018-09-24
"387",457095,6527145,25.7473182678223,2018-09-24
"388",457105,6527145,23.8856735229492,2018-09-24
"508",456905,6527135,31.05908203125,2018-09-24
"509",456915,6527135,31.05908203125,2018-09-24
"510",456925,6527135,30.653470993042,2018-09-24
"511",456935,6527135,30.653470993042,2018-09-24
"512",456945,6527135,30.8549842834473,2018-09-24
"513",456955,6527135,30.8549842834473,2018-09-24
"514",456965,6527135,28.5942497253418,2018-09-24
"515",456975,6527135,28.5942497253418,2018-09-24
"516",456985,6527135,28.4202632904053,2018-09-24
"517",456995,6527135,28.4202632904053,2018-09-24
"518",457005,6527135,28.2483139038086,2018-09-24
"519",457015,6527135,28.2483139038086,2018-09-24
"520",457025,6527135,25.0512657165527,2018-09-24
"521",457035,6527135,25.0512657165527,2018-09-24
"522",457045,6527135,24.0100002288818,2018-09-24
"523",457055,6527135,24.0100002288818,2018-09-24
"524",457065,6527135,23.8856735229492,2018-09-24
"525",457075,6527135,23.8856735229492,2018-09-24
"526",457085,6527135,24.2624244689941,2018-09-24
"527",457095,6527135,24.2624244689941,2018-09-24
"528",457105,6527135,21.9466800689697,2018-09-24
"529",457115,6527135,21.9466800689697,2018-09-24
"530",457125,6527135,22.1589469909668,2018-09-24
"647",456895,6527125,33.2538757324219,2018-09-24
"648",456905,6527125,31.05908203125,2018-09-24
"649",456915,6527125,31.05908203125,2018-09-24
"650",456925,6527125,30.653470993042,2018-09-24
"651",456935,6527125,30.653470993042,2018-09-24
"652",456945,6527125,30.8549842834473,2018-09-24
"653",456955,6527125,30.8549842834473,2018-09-24
"654",456965,6527125,28.5942497253418,2018-09-24
"655",456975,6527125,28.5942497253418,2018-09-24
"656",456985,6527125,28.4202632904053,2018-09-24
"657",456995,6527125,28.4202632904053,2018-09-24
"658",457005,6527125,28.2483139038086,2018-09-24
"659",457015,6527125,28.2483139038086,2018-09-24
"660",457025,6527125,25.0512657165527,2018-09-24
"661",457035,6527125,25.0512657165527,2018-09-24
"662",457045,6527125,24.0100002288818,2018-09-24
"663",457055,6527125,24.0100002288818,2018-09-24
"664",457065,6527125,23.8856735229492,2018-09-24
"665",457075,6527125,23.8856735229492,2018-09-24
"666",457085,6527125,24.2624244689941,2018-09-24
"667",457095,6527125,24.2624244689941,2018-09-24
"668",457105,6527125,21.9466800689697,2018-09-24
"669",457115,6527125,21.9466800689697,2018-09-24
"670",457125,6527125,22.1589469909668,2018-09-24
"671",457135,6527125,22.1589469909668,2018-09-24
"672",457145,6527125,21.5336227416992,2018-09-24
"785",456875,6527115,33.7294235229492,2018-09-24
"786",456885,6527115,31.05908203125,2018-09-24
"787",456895,6527115,31.05908203125,2018-09-24
"788",456905,6527115,30.0639495849609,2018-09-24
"789",456915,6527115,30.0639495849609,2018-09-24
"790",456925,6527115,30.0639495849609,2018-09-24
"791",456935,6527115,30.0639495849609,2018-09-24
"792",456945,6527115,29.6829967498779,2018-09-24
"793",456955,6527115,29.6829967498779,2018-09-24
"794",456965,6527115,27.7443313598633,2018-09-24
"795",456975,6527115,27.7443313598633,2018-09-24
"796",456985,6527115,25.7473182678223,2018-09-24
"797",456995,6527115,25.7473182678223,2018-09-24
"798",457005,6527115,25.891019821167,2018-09-24
"799",457015,6527115,25.891019821167,2018-09-24
"800",457025,6527115,24.2624244689941,2018-09-24
"801",457035,6527115,24.2624244689941,2018-09-24
"802",457045,6527115,23.2821445465088,2018-09-24
"803",457055,6527115,23.2821445465088,2018-09-24
"804",457065,6527115,23.6406898498535,2018-09-24
"805",457075,6527115,23.6406898498535,2018-09-24
"806",457085,6527115,22.8200244903564,2018-09-24
"807",457095,6527115,22.8200244903564,2018-09-24
"808",457105,6527115,22.8200244903564,2018-09-24
"809",457115,6527115,22.8200244903564,2018-09-24
"810",457125,6527115,20.7506313323975,2018-09-24
"811",457135,6527115,20.7506313323975,2018-09-24
"812",457145,6527115,19.0124988555908,2018-09-24
"813",457155,6527115,19.0124988555908,2018-09-24
"814",457165,6527115,18.1701374053955,2018-09-24
"923",456855,6527105,32.5644989013672,2018-09-24
"924",456865,6527105,33.7294235229492,2018-09-24
"925",456875,6527105,33.7294235229492,2018-09-24
"926",456885,6527105,31.05908203125,2018-09-24
"927",456895,6527105,31.05908203125,2018-09-24
"928",456905,6527105,30.0639495849609,2018-09-24
"929",456915,6527105,30.0639495849609,2018-09-24
"930",456925,6527105,30.0639495849609,2018-09-24
"931",456935,6527105,30.0639495849609,2018-09-24
"932",456945,6527105,29.6829967498779,2018-09-24
"933",456955,6527105,29.6829967498779,2018-09-24
"934",456965,6527105,27.7443313598633,2018-09-24
"935",456975,6527105,27.7443313598633,2018-09-24
"936",456985,6527105,25.7473182678223,2018-09-24
"937",456995,6527105,25.7473182678223,2018-09-24
"938",457005,6527105,25.891019821167,2018-09-24
"939",457015,6527105,25.891019821167,2018-09-24
"940",457025,6527105,24.2624244689941,2018-09-24
"941",457035,6527105,24.2624244689941,2018-09-24
"942",457045,6527105,23.2821445465088,2018-09-24
"943",457055,6527105,23.2821445465088,2018-09-24
"944",457065,6527105,23.6406898498535,2018-09-24
"945",457075,6527105,23.6406898498535,2018-09-24
"946",457085,6527105,22.8200244903564,2018-09-24
"947",457095,6527105,22.8200244903564,2018-09-24
"948",457105,6527105,22.8200244903564,2018-09-24
"949",457115,6527105,22.8200244903564,2018-09-24
"950",457125,6527105,20.7506313323975,2018-09-24
"951",457135,6527105,20.7506313323975,2018-09-24
"952",457145,6527105,19.0124988555908,2018-09-24
"953",457155,6527105,19.0124988555908,2018-09-24
"954",457165,6527105,18.1701374053955,2018-09-24
"955",457175,6527105,18.1701374053955,2018-09-24
"1062",456845,6527095,30.0639495849609,2018-09-24
"1063",456855,6527095,30.0639495849609,2018-09-24
"1064",456865,6527095,32.5644989013672,2018-09-24
"1065",456875,6527095,32.5644989013672,2018-09-24
"1066",456885,6527095,27.7443313598633,2018-09-24
"1067",456895,6527095,27.7443313598633,2018-09-24
"1068",456905,6527095,28.0783672332764,2018-09-24
"1069",456915,6527095,28.0783672332764,2018-09-24
"1070",456925,6527095,26.9419116973877,2018-09-24
"1071",456935,6527095,26.9419116973877,2018-09-24
"1072",456945,6527095,26.1831130981445,2018-09-24
"1073",456955,6527095,26.1831130981445,2018-09-24
"1074",456965,6527095,26.1831130981445,2018-09-24
"1075",456975,6527095,26.1831130981445,2018-09-24
"1076",456985,6527095,25.891019821167,2018-09-24
"1077",456995,6527095,25.891019821167,2018-09-24
"1078",457005,6527095,26.633358001709,2018-09-24
