"","x","y","STR","Date"
"236",456985,6527155,3.78321886062622,2018-07-19
"237",456995,6527155,3.78321886062622,2018-07-19
"238",457005,6527155,3.97685861587524,2018-07-19
"239",457015,6527155,3.97685861587524,2018-07-19
"240",457025,6527155,3.92929887771606,2018-07-19
"241",457035,6527155,3.92929887771606,2018-07-19
"242",457045,6527155,4.04012012481689,2018-07-19
"243",457055,6527155,4.04012012481689,2018-07-19
"244",457065,6527155,3.87345099449158,2018-07-19
"245",457075,6527155,3.87345099449158,2018-07-19
"374",456965,6527145,3.64165616035461,2018-07-19
"375",456975,6527145,3.64165616035461,2018-07-19
"376",456985,6527145,3.78321886062622,2018-07-19
"377",456995,6527145,3.78321886062622,2018-07-19
"378",457005,6527145,3.97685861587524,2018-07-19
"379",457015,6527145,3.97685861587524,2018-07-19
"380",457025,6527145,3.92929887771606,2018-07-19
"381",457035,6527145,3.92929887771606,2018-07-19
"382",457045,6527145,4.04012012481689,2018-07-19
"383",457055,6527145,4.04012012481689,2018-07-19
"384",457065,6527145,3.87345099449158,2018-07-19
"385",457075,6527145,3.87345099449158,2018-07-19
"386",457085,6527145,3.41654801368713,2018-07-19
"387",457095,6527145,3.41654801368713,2018-07-19
"388",457105,6527145,3.27515149116516,2018-07-19
"514",456965,6527135,3.52422523498535,2018-07-19
"515",456975,6527135,3.52422523498535,2018-07-19
"516",456985,6527135,4.02537441253662,2018-07-19
"517",456995,6527135,4.02537441253662,2018-07-19
"518",457005,6527135,4.03027963638306,2018-07-19
"519",457015,6527135,4.03027963638306,2018-07-19
"520",457025,6527135,3.80098795890808,2018-07-19
"521",457035,6527135,3.80098795890808,2018-07-19
"522",457045,6527135,3.55599999427795,2018-07-19
"523",457055,6527135,3.55599999427795,2018-07-19
"524",457065,6527135,2.95828104019165,2018-07-19
"525",457075,6527135,2.95828104019165,2018-07-19
"526",457085,6527135,2.21072030067444,2018-07-19
"654",456965,6527125,3.52422523498535,2018-07-19
"655",456975,6527125,3.52422523498535,2018-07-19
"656",456985,6527125,4.02537441253662,2018-07-19
"657",456995,6527125,4.02537441253662,2018-07-19
"658",457005,6527125,4.03027963638306,2018-07-19
"659",457015,6527125,4.03027963638306,2018-07-19
"660",457025,6527125,3.80098795890808,2018-07-19
"661",457035,6527125,3.80098795890808,2018-07-19
"662",457045,6527125,3.55599999427795,2018-07-19
"663",457055,6527125,3.55599999427795,2018-07-19
"664",457065,6527125,2.95828104019165,2018-07-19
"665",457075,6527125,2.95828104019165,2018-07-19
"795",456975,6527115,3.23695945739746,2018-07-19
"796",456985,6527115,3.58013677597046,2018-07-19
"797",456995,6527115,3.58013677597046,2018-07-19
"798",457005,6527115,3.77438545227051,2018-07-19
"799",457015,6527115,3.77438545227051,2018-07-19
"800",457025,6527115,3.49679732322693,2018-07-19
"801",457035,6527115,3.49679732322693,2018-07-19
"802",457045,6527115,2.97626304626465,2018-07-19
"803",457055,6527115,2.97626304626465,2018-07-19
"804",457065,6527115,2.57040023803711,2018-07-19
"805",457075,6527115,2.57040023803711,2018-07-19
"935",456975,6527105,3.23695945739746,2018-07-19
"936",456985,6527105,3.58013677597046,2018-07-19
"937",456995,6527105,3.58013677597046,2018-07-19
"938",457005,6527105,3.77438545227051,2018-07-19
"939",457015,6527105,3.77438545227051,2018-07-19
"940",457025,6527105,3.49679732322693,2018-07-19
"941",457035,6527105,3.49679732322693,2018-07-19
"942",457045,6527105,2.97626304626465,2018-07-19
"943",457055,6527105,2.97626304626465,2018-07-19
"944",457065,6527105,2.57040023803711,2018-07-19
"945",457075,6527105,2.57040023803711,2018-07-19
"1075",456975,6527095,2.80656576156616,2018-07-19
"1076",456985,6527095,3.24385046958923,2018-07-19
"1077",456995,6527095,3.24385046958923,2018-07-19
"1078",457005,6527095,3.60863399505615,2018-07-19
"1079",457015,6527095,3.60863399505615,2018-07-19
"1080",457025,6527095,3.23695945739746,2018-07-19
"1081",457035,6527095,3.23695945739746,2018-07-19
"1082",457045,6527095,2.6844789981842,2018-07-19
"1083",457055,6527095,2.6844789981842,2018-07-19
"1084",457065,6527095,2.41704607009888,2018-07-19
"1085",457075,6527095,2.41704607009888,2018-07-19
"1088",457105,6527095,2.06536483764648,2018-07-19
"1215",456975,6527085,2.80656576156616,2018-07-19
"1216",456985,6527085,3.24385046958923,2018-07-19
"1217",456995,6527085,3.24385046958923,2018-07-19
"1218",457005,6527085,3.60863399505615,2018-07-19
"1219",457015,6527085,3.60863399505615,2018-07-19
"1220",457025,6527085,3.23695945739746,2018-07-19
"1221",457035,6527085,3.23695945739746,2018-07-19
"1222",457045,6527085,2.6844789981842,2018-07-19
"1223",457055,6527085,2.6844789981842,2018-07-19
"1224",457065,6527085,2.41704607009888,2018-07-19
"1225",457075,6527085,2.41704607009888,2018-07-19
"1319",456615,6527075,11.5512781143188,2018-07-19
"1320",456625,6527075,6.80819988250732,2018-07-19
"1321",456635,6527075,6.80819988250732,2018-07-19
"1322",456645,6527075,5.00142574310303,2018-07-19
"1323",456655,6527075,5.00142574310303,2018-07-19
"1324",456665,6527075,4.26171445846558,2018-07-19
"1325",456675,6527075,4.26171445846558,2018-07-19
"1326",456685,6527075,3.96727085113525,2018-07-19
"1327",456695,6527075,3.96727085113525,2018-07-19
"1328",456705,6527075,3.98648405075073,2018-07-19
"1329",456715,6527075,3.98648405075073,2018-07-19
"1330",456725,6527075,3.76119780540466,2018-07-19
"1331",456735,6527075,3.76119780540466,2018-07-19
"1332",456745,6527075,2.97325396537781,2018-07-19
"1333",456755,6527075,2.97325396537781,2018-07-19
"1355",456975,6527075,2.46133399009705,2018-07-19
"1356",456985,6527075,2.7793025970459,2018-07-19
"1357",456995,6527075,2.7793025970459,2018-07-19
"1358",457005,6527075,2.73388910293579,2018-07-19
"1359",457015,6527075,2.73388910293579,2018-07-19
"1360",457025,6527075,2.68961477279663,2018-07-19
"1361",457035,6527075,2.68961477279663,2018-07-19
"1362",457045,6527075,2.32169628143311,2018-07-19
"1363",457055,6527075,2.32169628143311,2018-07-19
"1364",457065,6527075,2.16186451911926,2018-07-19
"1365",457075,6527075,2.16186451911926,2018-07-19
"1449",456515,6527065,14.6899309158325,2018-07-19
"1450",456525,6527065,13.8977527618408,2018-07-19
"1451",456535,6527065,13.8977527618408,2018-07-19
"1452",456545,6527065,13.8098001480103,2018-07-19
"1453",456555,6527065,13.8098001480103,2018-07-19
"1454",456565,6527065,13.7662124633789,2018-07-19
"1455",456575,6527065,13.7662124633789,2018-07-19
"1456",456585,6527065,14.5923738479614,2018-07-19
"1457",456595,6527065,14.5923738479614,2018-07-19
"1458",456605,6527065,11.5512781143188,2018-07-19
"1459",456615,6527065,11.5512781143188,2018-07-19
"1460",456625,6527065,6.80819988250732,2018-07-19
"1461",456635,6527065,6.80819988250732,2018-07-19
"1462",456645,6527065,5.00142574310303,2018-07-19
"1463",456655,6527065,5.00142574310303,2018-07-19
"1464",456665,6527065,4.26171445846558,2018-07-19
"1465",456675,6527065,4.26171445846558,2018-07-19
"1466",456685,6527065,3.96727085113525,2018-07-19
"1467",456695,6527065,3.96727085113525,2018-07-19
"1468",456705,6527065,3.98648405075073,2018-07-19
"1469",456715,6527065,3.98648405075073,2018-07-19
"1470",456725,6527065,3.76119780540466,2018-07-19
"1471",456735,6527065,3.76119780540466,2018-07-19
"1472",456745,6527065,2.97325396537781,2018-07-19
"1473",456755,6527065,2.97325396537781,2018-07-19
"1495",456975,6527065,2.46133399009705,2018-07-19
"1496",456985,6527065,2.7793025970459,2018-07-19
"1497",456995,6527065,2.7793025970459,2018-07-19
"1498",457005,6527065,2.73388910293579,2018-07-19
"1499",457015,6527065,2.73388910293579,2018-07-19
"1500",457025,6527065,2.68961477279663,2018-07-19
"1501",457035,6527065,2.68961477279663,2018-07-19
"1502",457045,6527065,2.32169628143311,2018-07-19
"1503",457055,6527065,2.32169628143311,2018-07-19
"1504",457065,6527065,2.16186451911926,2018-07-19
"1505",457075,6527065,2.16186451911926,2018-07-19
"1587",456495,6527055,14.2603025436401,2018-07-19
"1588",456505,6527055,14.4482984542847,2018-07-19
"1589",456515,6527055,14.4482984542847,2018-07-19
"1590",456525,6527055,12.8302536010742,2018-07-19
"1591",456535,6527055,12.8302536010742,2018-07-19
"1592",456545,6527055,12.7168807983398,2018-07-19
"1593",456555,6527055,12.7168807983398,2018-07-19
"1594",456565,6527055,12.792254447937,2018-07-19
"1595",456575,6527055,12.792254447937,2018-07-19
"1596",456585,6527055,12.246413230896,2018-07-19
