"","x","y","NDVI","Date"
"236",456985,6527155,0.582354366779327,2018-07-19
"237",456995,6527155,0.580158531665802,2018-07-19
"238",457005,6527155,0.625335454940796,2018-07-19
"239",457015,6527155,0.629135370254517,2018-07-19
"240",457025,6527155,0.628509700298309,2018-07-19
"241",457035,6527155,0.626783728599548,2018-07-19
"242",457045,6527155,0.638695895671844,2018-07-19
"243",457055,6527155,0.631549298763275,2018-07-19
"244",457065,6527155,0.6322922706604,2018-07-19
"245",457075,6527155,0.653318107128143,2018-07-19
"374",456965,6527145,0.647216618061066,2018-07-19
"375",456975,6527145,0.637381374835968,2018-07-19
"376",456985,6527145,0.620869576931,2018-07-19
"377",456995,6527145,0.62275755405426,2018-07-19
"378",457005,6527145,0.639257311820984,2018-07-19
"379",457015,6527145,0.63834422826767,2018-07-19
"380",457025,6527145,0.63217157125473,2018-07-19
"381",457035,6527145,0.619419634342194,2018-07-19
"382",457045,6527145,0.628070175647736,2018-07-19
"383",457055,6527145,0.633613467216492,2018-07-19
"384",457065,6527145,0.646288216114044,2018-07-19
"385",457075,6527145,0.694497168064117,2018-07-19
"386",457085,6527145,0.688929557800293,2018-07-19
"387",457095,6527145,0.690331280231476,2018-07-19
"388",457105,6527145,0.678943693637848,2018-07-19
"514",456965,6527135,0.609732389450073,2018-07-19
"515",456975,6527135,0.634620368480682,2018-07-19
"516",456985,6527135,0.642706155776978,2018-07-19
"517",456995,6527135,0.644537389278412,2018-07-19
"518",457005,6527135,0.637334823608398,2018-07-19
"519",457015,6527135,0.614997208118439,2018-07-19
"520",457025,6527135,0.62684565782547,2018-07-19
"521",457035,6527135,0.62775331735611,2018-07-19
"522",457045,6527135,0.635872483253479,2018-07-19
"523",457055,6527135,0.664114356040955,2018-07-19
"524",457065,6527135,0.677666187286377,2018-07-19
"525",457075,6527135,0.661315858364105,2018-07-19
"526",457085,6527135,0.637180089950562,2018-07-19
"654",456965,6527125,0.575757563114166,2018-07-19
"655",456975,6527125,0.650342285633087,2018-07-19
"656",456985,6527125,0.656544506549835,2018-07-19
"657",456995,6527125,0.652814328670502,2018-07-19
"658",457005,6527125,0.638786494731903,2018-07-19
"659",457015,6527125,0.621914863586426,2018-07-19
"660",457025,6527125,0.651404798030853,2018-07-19
"661",457035,6527125,0.649705946445465,2018-07-19
"662",457045,6527125,0.641102015972137,2018-07-19
"663",457055,6527125,0.645942568778992,2018-07-19
"664",457065,6527125,0.662921369075775,2018-07-19
"665",457075,6527125,0.590004622936249,2018-07-19
"795",456975,6527115,0.650677800178528,2018-07-19
"796",456985,6527115,0.652960956096649,2018-07-19
"797",456995,6527115,0.653684198856354,2018-07-19
"798",457005,6527115,0.645203649997711,2018-07-19
"799",457015,6527115,0.657527148723602,2018-07-19
"800",457025,6527115,0.662364482879639,2018-07-19
"801",457035,6527115,0.630746781826019,2018-07-19
"802",457045,6527115,0.606067776679993,2018-07-19
"803",457055,6527115,0.610481202602386,2018-07-19
"804",457065,6527115,0.614778339862823,2018-07-19
"805",457075,6527115,0.541081726551056,2018-07-19
"935",456975,6527105,0.611617028713226,2018-07-19
"936",456985,6527105,0.629297435283661,2018-07-19
"937",456995,6527105,0.654958665370941,2018-07-19
"938",457005,6527105,0.642370223999023,2018-07-19
"939",457015,6527105,0.652103126049042,2018-07-19
"940",457025,6527105,0.6512570977211,2018-07-19
"941",457035,6527105,0.612838506698608,2018-07-19
"942",457045,6527105,0.584887385368347,2018-07-19
"943",457055,6527105,0.593908607959747,2018-07-19
"944",457065,6527105,0.582914590835571,2018-07-19
"945",457075,6527105,0.53747421503067,2018-07-19
"1075",456975,6527095,0.566658794879913,2018-07-19
"1076",456985,6527095,0.593495905399323,2018-07-19
"1077",456995,6527095,0.638874113559723,2018-07-19
"1078",457005,6527095,0.637439489364624,2018-07-19
"1079",457015,6527095,0.641386806964874,2018-07-19
"1080",457025,6527095,0.642990171909332,2018-07-19
"1081",457035,6527095,0.623068988323212,2018-07-19
"1082",457045,6527095,0.593969821929932,2018-07-19
"1083",457055,6527095,0.595225751399994,2018-07-19
"1084",457065,6527095,0.563978612422943,2018-07-19
"1085",457075,6527095,0.543032288551331,2018-07-19
"1088",457105,6527095,0.318821161985397,2018-07-19
"1215",456975,6527085,0.537878811359406,2018-07-19
"1216",456985,6527085,0.580522418022156,2018-07-19
"1217",456995,6527085,0.631182789802551,2018-07-19
"1218",457005,6527085,0.631099224090576,2018-07-19
"1219",457015,6527085,0.617544770240784,2018-07-19
"1220",457025,6527085,0.615995645523071,2018-07-19
"1221",457035,6527085,0.606973052024841,2018-07-19
"1222",457045,6527085,0.584057211875916,2018-07-19
"1223",457055,6527085,0.584664523601532,2018-07-19
"1224",457065,6527085,0.545572578907013,2018-07-19
"1225",457075,6527085,0.517307221889496,2018-07-19
"1319",456615,6527075,0.591531753540039,2018-07-19
"1320",456625,6527075,0.5912806391716,2018-07-19
"1321",456635,6527075,0.625263154506683,2018-07-19
"1322",456645,6527075,0.664974629878998,2018-07-19
"1323",456655,6527075,0.671305894851685,2018-07-19
"1324",456665,6527075,0.680767059326172,2018-07-19
"1325",456675,6527075,0.679067194461823,2018-07-19
"1326",456685,6527075,0.665738165378571,2018-07-19
