"","x","y","NDVI","Date"
"237",456995,6527155,0.167189955711365,2018-07-04
"243",457055,6527155,0.235772356390953,2018-07-04
"371",456935,6527145,0.116829641163349,2018-07-04
"372",456945,6527145,0.119793586432934,2018-07-04
"378",457005,6527145,0.107068605720997,2018-07-04
"387",457095,6527145,0.659877777099609,2018-07-04
"388",457105,6527145,0.681668519973755,2018-07-04
"521",457035,6527135,0.171581774950027,2018-07-04
"523",457055,6527135,0.541104316711426,2018-07-04
"524",457065,6527135,0.634124875068665,2018-07-04
"527",457095,6527135,0.611479043960571,2018-07-04
"528",457105,6527135,0.631460666656494,2018-07-04
"529",457115,6527135,0.62657505273819,2018-07-04
"530",457125,6527135,0.624708652496338,2018-07-04
"660",457025,6527125,0.187735348939896,2018-07-04
"661",457035,6527125,0.174825176596642,2018-07-04
"663",457055,6527125,0.406523466110229,2018-07-04
"667",457095,6527125,0.622968554496765,2018-07-04
"668",457105,6527125,0.6142697930336,2018-07-04
"669",457115,6527125,0.606741547584534,2018-07-04
"670",457125,6527125,0.625277161598206,2018-07-04
"671",457135,6527125,0.616724729537964,2018-07-04
"672",457145,6527125,0.636160731315613,2018-07-04
"793",456955,6527115,0.194470047950745,2018-07-04
"798",457005,6527115,0.211605802178383,2018-07-04
"803",457055,6527115,0.345076054334641,2018-07-04
"807",457095,6527115,0.589232325553894,2018-07-04
"808",457105,6527115,0.587269008159637,2018-07-04
"809",457115,6527115,0.582278490066528,2018-07-04
"810",457125,6527115,0.597416579723358,2018-07-04
"811",457135,6527115,0.616407990455627,2018-07-04
"812",457145,6527115,0.635584115982056,2018-07-04
"813",457155,6527115,0.621436715126038,2018-07-04
"814",457165,6527115,0.607142865657806,2018-07-04
"934",456965,6527105,0.188451439142227,2018-07-04
"948",457105,6527105,0.579051375389099,2018-07-04
"949",457115,6527105,0.583505153656006,2018-07-04
"950",457125,6527105,0.599578499794006,2018-07-04
"951",457135,6527105,0.62328040599823,2018-07-04
"952",457145,6527105,0.62978720664978,2018-07-04
"953",457155,6527105,0.617312073707581,2018-07-04
"954",457165,6527105,0.597660839557648,2018-07-04
"955",457175,6527105,0.632183909416199,2018-07-04
"1081",457035,6527095,0.219945356249809,2018-07-04
"1087",457095,6527095,0.575931251049042,2018-07-04
"1088",457105,6527095,0.596790373325348,2018-07-04
"1090",457125,6527095,0.562058508396149,2018-07-04
"1091",457135,6527095,0.58979594707489,2018-07-04
"1092",457145,6527095,0.616702377796173,2018-07-04
"1093",457155,6527095,0.61391693353653,2018-07-04
"1094",457165,6527095,0.598623871803284,2018-07-04
"1095",457175,6527095,0.616345047950745,2018-07-04
"1096",457185,6527095,0.621867895126343,2018-07-04
"1097",457195,6527095,0.617269515991211,2018-07-04
"1210",456925,6527085,0.435568034648895,2018-07-04
"1211",456935,6527085,0.505882382392883,2018-07-04
"1212",456945,6527085,0.558463513851166,2018-07-04
"1222",457045,6527085,0.424009472131729,2018-07-04
"1224",457065,6527085,0.51750236749649,2018-07-04
"1226",457085,6527085,0.559118211269379,2018-07-04
"1230",457125,6527085,0.561368227005005,2018-07-04
"1231",457135,6527085,0.582909464836121,2018-07-04
"1232",457145,6527085,0.609808087348938,2018-07-04
"1233",457155,6527085,0.606160640716553,2018-07-04
"1234",457165,6527085,0.594202876091003,2018-07-04
"1235",457175,6527085,0.59637188911438,2018-07-04
"1236",457185,6527085,0.62285715341568,2018-07-04
"1237",457195,6527085,0.598647117614746,2018-07-04
"1238",457205,6527085,0.616438329219818,2018-07-04
"1349",456915,6527075,0.437728941440582,2018-07-04
"1350",456925,6527075,0.47758886218071,2018-07-04
"1351",456935,6527075,0.571251571178436,2018-07-04
"1352",456945,6527075,0.59019261598587,2018-07-04
