"","x","y","NDVI","Date"
"242",457045,6527155,0.0259301010519266,2018-08-28
"243",457055,6527155,0.0567823350429535,2018-08-28
"244",457065,6527155,0.0699755921959877,2018-08-28
"245",457075,6527155,0.0898404717445374,2018-08-28
"381",457035,6527145,0.0805991441011429,2018-08-28
"383",457055,6527145,0.0653992369771004,2018-08-28
"384",457065,6527145,0.0660592243075371,2018-08-28
"385",457075,6527145,0.0905602425336838,2018-08-28
"386",457085,6527145,0.0892646461725235,2018-08-28
"387",457095,6527145,0.0827190801501274,2018-08-28
"388",457105,6527145,0.0874684602022171,2018-08-28
"523",457055,6527135,0.106240712106228,2018-08-28
"524",457065,6527135,0.111619047820568,2018-08-28
"526",457085,6527135,0.099071204662323,2018-08-28
"527",457095,6527135,0.0775896012783051,2018-08-28
"528",457105,6527135,0.0799347460269928,2018-08-28
"529",457115,6527135,0.0744939297437668,2018-08-28
"669",457115,6527125,0.108864694833755,2018-08-28
"670",457125,6527125,0.0973130017518997,2018-08-28
"671",457135,6527125,0.102961920201778,2018-08-28
"672",457145,6527125,0.0813911780714989,2018-08-28
"812",457145,6527115,0.145263165235519,2018-08-28
"813",457155,6527115,0.127390831708908,2018-08-28
"952",457145,6527105,0.181662678718567,2018-08-28
"953",457155,6527105,0.181343540549278,2018-08-28
"1602",456645,6527055,0.152103558182716,2018-08-28
"1603",456655,6527055,0.149425283074379,2018-08-28
"1604",456665,6527055,0.126805782318115,2018-08-28
"1744",456665,6527045,0.162861496210098,2018-08-28
"1745",456675,6527045,0.121875002980232,2018-08-28
"1885",456675,6527035,0.125046387314796,2018-08-28
"1886",456685,6527035,0.122385747730732,2018-08-28
"1892",456745,6527035,0.0292237438261509,2018-08-28
"1893",456755,6527035,0.0630272924900055,2018-08-28
"2170",456725,6527015,0.110770411789417,2018-08-28
"3176",456985,6526945,0.094040647149086,2018-08-28
"3177",456995,6526945,0.098761297762394,2018-08-28
"4714",456965,6526835,0.0416161604225636,2018-08-28
"4715",456975,6526835,0.0376740358769894,2018-08-28
"4854",456965,6526825,0.0895463526248932,2018-08-28
"4855",456975,6526825,0.0553983002901077,2018-08-28
"4856",456985,6526825,0.0536382533609867,2018-08-28
"5488",456305,6526775,0.11220621317625,2018-08-28
"6601",456235,6526695,0.103848949074745,2018-08-28
"8508",457105,6526565,0.094659298658371,2018-08-28
"8509",457115,6526565,0.137225165963173,2018-08-28
"8686",456085,6526545,0.0766894444823265,2018-08-28
"13121",457035,6526235,0.0843917578458786,2018-08-28
"22646",457085,6525555,0.0423917882144451,2018-08-28
"22647",457095,6525555,0.0756152123212814,2018-08-28
