"","x","y","NDVI","Date"
"1062",456845,6527095,-0.0147859919816256,2018-08-05
"1201",456835,6527085,-0.0125737749040127,2018-08-05
"1202",456845,6527085,-0.0145966708660126,2018-08-05
"1340",456825,6527075,0.000509424367919564,2018-08-05
"1341",456835,6527075,-0.0164598636329174,2018-08-05
"1342",456845,6527075,-0.012709709815681,2018-08-05
"1343",456855,6527075,-0.0178988333791494,2018-08-05
"1480",456825,6527065,-0.00673484662547708,2018-08-05
"1481",456835,6527065,-0.0106726232916117,2018-08-05
"1482",456845,6527065,0.00504286447539926,2018-08-05
"1483",456855,6527065,0.0140917245298624,2018-08-05
"1619",456815,6527055,0.00538423890247941,2018-08-05
"1620",456825,6527055,-0.0127077223733068,2018-08-05
"1621",456835,6527055,0.00829672999680042,2018-08-05
"1759",456815,6527045,0.0206766910851002,2018-08-05
"1760",456825,6527045,0.0123927546665072,2018-08-05
"1761",456835,6527045,0.0292005743831396,2018-08-05
"2346",457085,6527005,-0.0212298687547445,2018-08-05
"2485",457075,6526995,-0.0368459820747375,2018-08-05
"2486",457085,6526995,-0.0248240083456039,2018-08-05
"2624",457065,6526985,-0.0535583272576332,2018-08-05
"2625",457075,6526985,-0.0443131476640701,2018-08-05
"2626",457085,6526985,-0.0289800520986319,2018-08-05
"2627",457095,6526985,-0.0285935085266829,2018-08-05
"2762",457045,6526975,-0.0754147842526436,2018-08-05
"2763",457055,6526975,-0.0659090876579285,2018-08-05
"2764",457065,6526975,-0.0618867911398411,2018-08-05
"2765",457075,6526975,-0.0520319044589996,2018-08-05
"2766",457085,6526975,-0.0320092551410198,2018-08-05
"2767",457095,6526975,-0.0196850392967463,2018-08-05
"2902",457045,6526965,-0.0688726454973221,2018-08-05
"2903",457055,6526965,-0.0648254677653313,2018-08-05
"2904",457065,6526965,-0.0604078508913517,2018-08-05
"2905",457075,6526965,-0.0462606027722359,2018-08-05
"2906",457085,6526965,-0.0409448817372322,2018-08-05
"2907",457095,6526965,-0.0302307084202766,2018-08-05
"3042",457045,6526955,-0.0476941280066967,2018-08-05
"3043",457055,6526955,-0.0504658371210098,2018-08-05
"3044",457065,6526955,-0.0443234853446484,2018-08-05
"3045",457075,6526955,-0.043207474052906,2018-08-05
"3046",457085,6526955,-0.0328192971646786,2018-08-05
"3047",457095,6526955,-0.0215827338397503,2018-08-05
"3184",457065,6526945,-0.0251177400350571,2018-08-05
"3185",457075,6526945,-0.0234009362757206,2018-08-05
"3186",457085,6526945,-0.0146187273785472,2018-08-05
"3187",457095,6526945,-0.0163281559944153,2018-08-05
"3324",457065,6526935,-0.011664074845612,2018-08-05
"3602",457045,6526915,-0.00801832787692547,2018-08-05
"3604",457065,6526915,-0.0119136264547706,2018-08-05
"3682",456445,6526905,-0.0241681262850761,2018-08-05
"3683",456455,6526905,-0.0261299442499876,2018-08-05
"3821",456435,6526895,-0.00758097879588604,2018-08-05
"3822",456445,6526895,-0.0195258017629385,2018-08-05
"3823",456455,6526895,-0.0189739987254143,2018-08-05
"3824",456465,6526895,-0.0155586991459131,2018-08-05
"3960",456425,6526885,0.0190063361078501,2018-08-05
"3961",456435,6526885,0.00340831629000604,2018-08-05
"3962",456445,6526885,-0.00796123221516609,2018-08-05
"3963",456455,6526885,-0.00799443852156401,2018-08-05
"3964",456465,6526885,-0.00627615069970489,2018-08-05
"4100",456425,6526875,0.0260640047490597,2018-08-05
"4101",456435,6526875,0.013458950445056,2018-08-05
"4102",456445,6526875,0.00750853260979056,2018-08-05
"4103",456455,6526875,0.00856457650661469,2018-08-05
"4432",456945,6526855,-0.0360870845615864,2018-08-05
"5533",456755,6526775,-0.0138181820511818,2018-08-05
"6020",457425,6526745,-0.00779396807774901,2018-08-05
"6159",457415,6526735,0.00501169404014945,2018-08-05
"6160",457425,6526735,0.00270453002303839,2018-08-05
"6298",457405,6526725,0.00984898209571838,2018-08-05
"6299",457415,6526725,0.00498504471033812,2018-08-05
"6300",457425,6526725,0.00333555694669485,2018-08-05
"6439",457415,6526715,0.0127160092815757,2018-08-05
"6714",457365,6526695,-0.0160047430545092,2018-08-05
"6853",457355,6526685,-0.0447847433388233,2018-08-05
"6854",457365,6526685,-0.0310077518224716,2018-08-05
"6992",457345,6526675,-0.0180547460913658,2018-08-05
"6993",457355,6526675,-0.0359754301607609,2018-08-05
"6994",457365,6526675,-0.0343195274472237,2018-08-05
"7133",457355,6526665,-0.00796695146709681,2018-08-05
"7273",457355,6526655,0.00827912520617247,2018-08-05
"7412",457345,6526645,0.0201729107648134,2018-08-05
"7413",457355,6526645,0.0160865746438503,2018-08-05
"7550",457325,6526635,0.0323287658393383,2018-08-05
"7552",457345,6526635,0.0248447209596634,2018-08-05
"7689",457315,6526625,0.0264131017029285,2018-08-05
"7690",457325,6526625,0.0218859761953354,2018-08-05
"7691",457335,6526625,0.0146126272156835,2018-08-05
"7827",457295,6526615,0.0557408295571804,2018-08-05
"7829",457315,6526615,0.0266494173556566,2018-08-05
"8471",456735,6526565,0.00560747645795345,2018-08-05
