"","x","y","STR","Date"
"648",456905,6527125,1.61814165115356,2018-08-25
"649",456915,6527125,1.61814165115356,2018-08-25
"650",456925,6527125,1.71594512462616,2018-08-25
"651",456935,6527125,1.71594512462616,2018-08-25
"652",456945,6527125,1.72791481018066,2018-08-25
"653",456955,6527125,1.72791481018066,2018-08-25
"789",456915,6527115,1.60964012145996,2018-08-25
"791",456935,6527115,1.72791481018066,2018-08-25
"792",456945,6527115,1.76178967952728,2018-08-25
"794",456965,6527115,1.7146223783493,2018-08-25
"927",456895,6527105,1.50563704967499,2018-08-25
"928",456905,6527105,1.60964012145996,2018-08-25
"929",456915,6527105,1.60964012145996,2018-08-25
"930",456925,6527105,1.72791481018066,2018-08-25
"935",456975,6527105,1.7146223783493,2018-08-25
"1067",456895,6527095,1.48595249652863,2018-08-25
"1068",456905,6527095,1.58925032615662,2018-08-25
"1070",456925,6527095,1.72391176223755,2018-08-25
"1071",456935,6527095,1.72391176223755,2018-08-25
"1207",456895,6527085,1.48595249652863,2018-08-25
"1352",456945,6527075,1.69886100292206,2018-08-25
"1353",456955,6527075,1.69886100292206,2018-08-25
"1358",457005,6527075,1.80227720737457,2018-08-25
"1493",456955,6527065,1.69886100292206,2018-08-25
"1772",456945,6527045,1.640291929245,2018-08-25
"1773",456955,6527045,1.640291929245,2018-08-25
"1902",456845,6527035,1.39757943153381,2018-08-25
"1906",456885,6527035,1.46874892711639,2018-08-25
"1907",456895,6527035,1.46874892711639,2018-08-25
"1908",456905,6527035,1.56222999095917,2018-08-25
"1909",456915,6527035,1.56222999095917,2018-08-25
"1910",456925,6527035,1.60240244865417,2018-08-25
"1912",456945,6527035,1.60360562801361,2018-08-25
"1913",456955,6527035,1.60360562801361,2018-08-25
"1914",456965,6527035,1.58332169055939,2018-08-25
"1915",456975,6527035,1.58332169055939,2018-08-25
"2047",456895,6527025,1.46874892711639,2018-08-25
"2048",456905,6527025,1.56222999095917,2018-08-25
"2049",456915,6527025,1.56222999095917,2018-08-25
"2054",456965,6527025,1.58332169055939,2018-08-25
"2055",456975,6527025,1.58332169055939,2018-08-25
"2195",456975,6527015,1.48162579536438,2018-08-25
"2200",457025,6527015,1.91800487041473,2018-08-25
"2335",456975,6527005,1.48162579536438,2018-08-25
"2338",457005,6527005,1.79238390922546,2018-08-25
"2627",457095,6526985,2.03629374504089,2018-08-25
"2628",457105,6526985,1.90411531925201,2018-08-25
"2766",457085,6526975,1.93518030643463,2018-08-25
"2767",457095,6526975,1.93518030643463,2018-08-25
"2905",457075,6526965,2.01613235473633,2018-08-25
"2906",457085,6526965,1.93518030643463,2018-08-25
"3050",457125,6526955,1.77144312858582,2018-08-25
"3609",457115,6526915,1.58806216716766,2018-08-25
"3890",457125,6526895,1.63286185264587,2018-08-25
"3891",457135,6526895,1.63286185264587,2018-08-25
"4029",457115,6526885,1.5347067117691,2018-08-25
"4030",457125,6526885,1.63286185264587,2018-08-25
