"","x","y","NDVI","Date"
"373",456955,6527145,0.272682070732117,2018-05-02
"512",456945,6527135,0.277922064065933,2018-05-02
"513",456955,6527135,0.266314923763275,2018-05-02
"514",456965,6527135,0.298141658306122,2018-05-02
"651",456935,6527125,0.321137070655823,2018-05-02
"652",456945,6527125,0.364542424678802,2018-05-02
"653",456955,6527125,0.28227698802948,2018-05-02
"802",457045,6527115,0.16065713763237,2018-05-02
"939",457015,6527105,0.115768857300282,2018-05-02
"941",457035,6527105,0.130127921700478,2018-05-02
"1062",456845,6527095,0.395057857036591,2018-05-02
"1063",456855,6527095,0.343647718429565,2018-05-02
"1064",456865,6527095,0.298673748970032,2018-05-02
"1074",456965,6527095,0.255696207284927,2018-05-02
"1081",457035,6527095,0.149491265416145,2018-05-02
"1194",456765,6527085,0.557964980602264,2018-05-02
"1195",456775,6527085,0.595633208751678,2018-05-02
"1196",456785,6527085,0.583128988742828,2018-05-02
"1197",456795,6527085,0.55859375,2018-05-02
"1198",456805,6527085,0.463818669319153,2018-05-02
"1199",456815,6527085,0.451386332511902,2018-05-02
"1200",456825,6527085,0.438231468200684,2018-05-02
"1201",456835,6527085,0.409691631793976,2018-05-02
"1202",456845,6527085,0.419063001871109,2018-05-02
"1203",456855,6527085,0.319384604692459,2018-05-02
"1204",456865,6527085,0.246506720781326,2018-05-02
"1205",456875,6527085,0.277388155460358,2018-05-02
"1214",456965,6527085,0.265476852655411,2018-05-02
"1227",457095,6527085,0.110616184771061,2018-05-02
"1319",456615,6527075,0.593220353126526,2018-05-02
"1320",456625,6527075,0.607377052307129,2018-05-02
"1321",456635,6527075,0.612043023109436,2018-05-02
"1322",456645,6527075,0.61034482717514,2018-05-02
"1323",456655,6527075,0.590103089809418,2018-05-02
"1324",456665,6527075,0.593978822231293,2018-05-02
"1325",456675,6527075,0.623834609985352,2018-05-02
"1326",456685,6527075,0.64255678653717,2018-05-02
"1327",456695,6527075,0.64747565984726,2018-05-02
"1328",456705,6527075,0.626138210296631,2018-05-02
"1329",456715,6527075,0.569637894630432,2018-05-02
"1330",456725,6527075,0.464788734912872,2018-05-02
"1331",456735,6527075,0.479569882154465,2018-05-02
"1332",456745,6527075,0.474436491727829,2018-05-02
"1333",456755,6527075,0.52907258272171,2018-05-02
"1334",456765,6527075,0.588893890380859,2018-05-02
"1335",456775,6527075,0.634707152843475,2018-05-02
"1336",456785,6527075,0.647435903549194,2018-05-02
"1337",456795,6527075,0.564235270023346,2018-05-02
"1338",456805,6527075,0.416701287031174,2018-05-02
"1339",456815,6527075,0.393093824386597,2018-05-02
"1340",456825,6527075,0.454311460256577,2018-05-02
"1341",456835,6527075,0.478776514530182,2018-05-02
"1342",456845,6527075,0.462714523077011,2018-05-02
"1343",456855,6527075,0.38877460360527,2018-05-02
"1344",456865,6527075,0.284577876329422,2018-05-02
"1345",456875,6527075,0.214502930641174,2018-05-02
"1346",456885,6527075,0.237876355648041,2018-05-02
"1449",456515,6527065,0.664739906787872,2018-05-02
"1450",456525,6527065,0.671627879142761,2018-05-02
"1451",456535,6527065,0.655104041099548,2018-05-02
"1452",456545,6527065,0.640250265598297,2018-05-02
"1453",456555,6527065,0.658613443374634,2018-05-02
"1454",456565,6527065,0.653104901313782,2018-05-02
"1455",456575,6527065,0.621212124824524,2018-05-02
"1456",456585,6527065,0.634958386421204,2018-05-02
"1457",456595,6527065,0.576719582080841,2018-05-02
"1458",456605,6527065,0.532404601573944,2018-05-02
"1459",456615,6527065,0.569009721279144,2018-05-02
"1460",456625,6527065,0.620705902576447,2018-05-02
"1461",456635,6527065,0.600594639778137,2018-05-02
"1462",456645,6527065,0.590447127819061,2018-05-02
"1463",456655,6527065,0.589468538761139,2018-05-02
"1464",456665,6527065,0.5827876329422,2018-05-02
"1465",456675,6527065,0.573741018772125,2018-05-02
"1466",456685,6527065,0.613902866840363,2018-05-02
"1467",456695,6527065,0.621311485767365,2018-05-02
"1468",456705,6527065,0.65617436170578,2018-05-02
"1469",456715,6527065,0.63702803850174,2018-05-02
"1470",456725,6527065,0.557365894317627,2018-05-02
"1471",456735,6527065,0.535059988498688,2018-05-02
"1472",456745,6527065,0.548918664455414,2018-05-02
"1473",456755,6527065,0.587062478065491,2018-05-02
"1474",456765,6527065,0.627283811569214,2018-05-02
"1475",456775,6527065,0.617269515991211,2018-05-02
"1476",456785,6527065,0.612978875637054,2018-05-02
"1477",456795,6527065,0.620048522949219,2018-05-02
"1478",456805,6527065,0.518384993076324,2018-05-02
"1479",456815,6527065,0.420653253793716,2018-05-02
"1480",456825,6527065,0.464512050151825,2018-05-02
"1481",456835,6527065,0.49889275431633,2018-05-02
"1482",456845,6527065,0.451261281967163,2018-05-02
"1483",456855,6527065,0.415918946266174,2018-05-02
"1484",456865,6527065,0.338345855474472,2018-05-02
"1485",456875,6527065,0.238924831151962,2018-05-02
"1486",456885,6527065,0.204716980457306,2018-05-02
"1487",456895,6527065,0.29880478978157,2018-05-02
"1587",456495,6527055,0.659793794155121,2018-05-02
"1588",456505,6527055,0.67447304725647,2018-05-02
"1589",456515,6527055,0.687893092632294,2018-05-02
"1590",456525,6527055,0.701686143875122,2018-05-02
"1591",456535,6527055,0.683278977870941,2018-05-02
"1592",456545,6527055,0.661282420158386,2018-05-02
"1593",456555,6527055,0.659939467906952,2018-05-02
"1594",456565,6527055,0.684155821800232,2018-05-02
"1595",456575,6527055,0.664444446563721,2018-05-02
"1596",456585,6527055,0.641772925853729,2018-05-02
"1597",456595,6527055,0.611253201961517,2018-05-02
"1598",456605,6527055,0.576142132282257,2018-05-02
"1599",456615,6527055,0.563005805015564,2018-05-02
"1600",456625,6527055,0.603744149208069,2018-05-02
"1601",456635,6527055,0.595767199993134,2018-05-02
"1602",456645,6527055,0.617584764957428,2018-05-02
"1603",456655,6527055,0.593504428863525,2018-05-02
"1604",456665,6527055,0.571072340011597,2018-05-02
"1605",456675,6527055,0.567470967769623,2018-05-02
"1606",456685,6527055,0.581103682518005,2018-05-02
"1607",456695,6527055,0.604828953742981,2018-05-02
"1608",456705,6527055,0.671029686927795,2018-05-02
"1609",456715,6527055,0.652219295501709,2018-05-02
"1610",456725,6527055,0.585805714130402,2018-05-02
"1611",456735,6527055,0.554669678211212,2018-05-02
"1612",456745,6527055,0.541401267051697,2018-05-02
"1613",456755,6527055,0.589787244796753,2018-05-02
